name,company,year,Price,kms_driven,fuel_type_Diesel,fuel_type_LPG,fuel_type_Petrol
Hyundai Santro Xing,Hyundai,2007,80000,45000,0,0,1
Mahindra Jeep CL550,Mahindra,2006,425000,40,1,0,0
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Hyundai Grand i10,Hyundai,2014,325000,28000,0,0,1
Ford EcoSport Titanium,Ford,2014,575000,36000,1,0,0
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Ford Figo,Ford,2012,175000,41000,1,0,0
Hyundai Eon,Hyundai,2013,190000,25000,0,0,1
Ford EcoSport Ambiente,Ford,2016,830000,24530,1,0,0
Maruti Suzuki Alto,Maruti,2015,250000,60000,0,0,1
Skoda Fabia Classic,Skoda,2010,182000,60000,0,0,1
Maruti Suzuki Stingray,Maruti,2015,315000,30000,0,0,1
Hyundai Elite i20,Hyundai,2014,415000,32000,0,0,1
Mahindra Scorpio SLE,Mahindra,2015,320000,48660,1,0,0
Hyundai Santro Xing,Hyundai,2007,80000,45000,0,0,1
Mahindra Jeep CL550,Mahindra,2006,425000,40,1,0,0
Audi A8,Audi,2017,1000000,4000,0,0,1
Audi Q7,Audi,2014,500000,16934,1,0,0
Mahindra Scorpio S10,Mahindra,2016,350000,43000,1,0,0
Maruti Suzuki Alto,Maruti,2014,160000,35550,0,0,1
Mahindra Scorpio S10,Mahindra,2016,350000,43000,1,0,0
Mahindra Scorpio S10,Mahindra,2016,310000,39522,1,0,0
Maruti Suzuki Alto,Maruti,2015,75000,39000,0,0,1
Hyundai i20 Sportz,Hyundai,2012,100000,55000,0,0,1
Hyundai i20 Sportz,Hyundai,2012,100000,55000,0,0,1
Hyundai i20 Sportz,Hyundai,2012,100000,55000,0,0,1
Maruti Suzuki Alto,Maruti,2017,190000,72000,0,0,1
Maruti Suzuki Vitara,Maruti,2016,290000,15975,1,0,0
Maruti Suzuki Alto,Maruti,2008,95000,70000,0,0,1
Mahindra Bolero DI,Mahindra,2017,180000,23452,1,0,0
Maruti Suzuki Swift,Maruti,2014,385000,35522,1,0,0
Mahindra Scorpio S10,Mahindra,2015,250000,48508,1,0,0
Maruti Suzuki Swift,Maruti,2017,180000,15487,0,0,1
Maruti Suzuki Wagon,Maruti,2013,105000,39000,0,0,1
Maruti Suzuki Wagon,Maruti,2013,105000,39000,0,0,1
Toyota Innova 2.0,Toyota,2012,650000,82000,1,0,0
Renault Lodgy 85,Renault,2018,689999,20000,1,0,0
Skoda Yeti Ambition,Skoda,2012,448000,68000,1,0,0
Maruti Suzuki Baleno,Maruti,2017,549000,32000,1,0,0
Renault Duster 110,Renault,2012,501000,38000,1,0,0
Renault Duster 85,Renault,2013,489999,27000,1,0,0
Honda City 1.5,Honda,2011,280000,33000,0,0,1
