,Ind_ID,GENDER,Car_Owner,Propert_Owner,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,label,Family
0,5008827,M,Y,Y,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,365243,1,0,0,0,Laborers,1,2
1,5009744,F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,1,2
2,5009746,F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-15661.5,-586,1,1,1,0,Laborers,1,2
3,5009749,F,Y,N,166500.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,1,2
4,5009752,F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,1,2
5,5009753,F,Y,N,315000.0,Pensioner,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,1,2
6,5009754,F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,1,2
7,5009894,F,N,N,180000.0,Pensioner,Secondary,Married,House / apartment,-22134.0,365243,1,0,0,0,Laborers,1,2
8,5010864,M,Y,Y,450000.0,Commercial associate,Secondary,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,1,4
9,5010868,M,Y,Y,450000.0,Pensioner,Secondary,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,1,4
10,5010869,M,Y,Y,450000.0,Commercial associate,Secondary,not married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,1,2
11,5018498,F,Y,Y,90000.0,Working,Secondary,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,1,2
12,5018501,F,Y,Y,166500.0,Working,Secondary,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,1,2
13,5018503,F,Y,Y,90000.0,Working,Secondary,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,1,2
14,5021303,M,N,N,472500.0,Pensioner,Higher education,Married,With parents,-8907.0,-913,1,0,0,1,Laborers,1,4
15,5021310,M,N,Y,270000.0,Working,Secondary,Married,House / apartment,-16896.0,-248,1,0,0,0,Laborers,1,2
16,5021314,M,N,Y,270000.0,Working,Secondary,not married,House / apartment,-16896.0,-248,1,0,0,0,Laborers,1,2
17,5021430,F,N,Y,126000.0,Commercial associate,Higher education,not married,House / apartment,-18907.0,-2470,1,0,0,0,Sales staff,1,1
18,5021431,F,N,Y,126000.0,Commercial associate,Higher education,not married,House / apartment,-18907.0,-2470,1,0,0,0,Sales staff,1,1
19,5021998,M,N,Y,90000.0,Pensioner,Secondary,Married,House / apartment,-18863.0,-1644,1,0,0,1,Laborers,1,2
20,5022053,M,N,N,202500.0,Working,Higher education,not married,House / apartment,-12811.0,-4327,1,0,0,0,Laborers,1,1
21,5022617,M,Y,Y,202500.0,Commercial associate,Secondary,Civil marriage,House / apartment,-12022.0,-1674,1,0,0,1,Laborers,1,2
22,5023781,M,N,Y,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800.0,-1086,1,0,0,0,Accountants,1,2
23,5023831,F,N,Y,112500.0,Commercial associate,Secondary,Married,House / apartment,-12135.0,-925,1,0,0,0,Sales staff,1,6
24,5024071,F,N,Y,180000.0,Working,Higher education,Married,House / apartment,-15976.0,-854,1,0,0,0,Laborers,1,2
25,5024213,F,Y,Y,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702.0,-185,1,0,1,0,Laborers,1,2
26,5024916,F,N,Y,112500.0,Pensioner,Secondary,Married,House / apartment,-21832.0,365243,1,0,1,0,Laborers,1,2
27,5024917,F,N,Y,166500.0,Pensioner,Secondary,Married,House / apartment,-21832.0,365243,1,0,1,0,Laborers,1,2
28,5025127,F,N,Y,292500.0,Working,Secondary,Married,House / apartment,-11111.0,-3350,1,0,0,0,High skill tech staff,1,2
29,5028580,M,N,N,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996.0,-691,1,0,0,0,Managers,1,2
30,5029028,F,N,Y,90000.0,Working,Lower secondary,not married,Rented apartment,-12026.0,-4770,1,0,0,0,Cleaning staff,1,2
31,5029311,F,N,Y,112500.0,Pensioner,Secondary,Married,House / apartment,-21876.0,365243,1,0,1,1,Laborers,1,2
32,5033453,F,N,N,135000.0,Working,Higher education,not married,House / apartment,-10749.0,-2394,1,0,0,0,Laborers,1,1
33,5033514,F,Y,N,135000.0,Working,Secondary,Married,House / apartment,-15952.0,-384,1,1,0,0,Sales staff,1,4
34,5033916,M,N,Y,180000.0,Working,Secondary,Married,House / apartment,-13015.0,-3647,1,0,0,0,Laborers,1,2
35,5036469,M,Y,N,112500.0,State servant,Secondary,not married,House / apartment,-20333.0,-1546,1,0,0,0,Drivers,1,2
36,5036590,M,Y,Y,292500.0,Working,Higher education,Married,House / apartment,-21055.0,-808,1,0,0,0,Drivers,1,2
37,5036660,F,Y,Y,76500.0,Pensioner,Secondary,Married,House / apartment,-23835.0,365243,1,0,0,0,Laborers,1,2
38,5036795,M,Y,Y,215100.0,Commercial associate,Secondary,Married,House / apartment,-19175.0,-1285,1,0,1,0,Laborers,1,2
39,5041522,M,Y,Y,450000.0,Commercial associate,Higher education,Separated,House / apartment,-16169.0,-855,1,1,1,0,Laborers,1,1
40,5042064,F,Y,N,270000.0,State servant,Higher education,Married,House / apartment,-16053.0,-7369,1,1,1,0,Laborers,1,6
41,5045888,F,N,Y,225000.0,Pensioner,Secondary,not married,House / apartment,-23286.0,365243,1,0,0,0,Laborers,1,1
42,5045894,F,N,Y,225000.0,Pensioner,Secondary,not married,House / apartment,-23286.0,365243,1,0,0,0,Laborers,1,1
43,5045895,F,N,Y,225000.0,Pensioner,Secondary,not married,House / apartment,-23286.0,365243,1,0,0,0,Laborers,1,1
44,5046324,F,N,Y,157500.0,Commercial associate,Secondary,not married,House / apartment,-15466.0,-2269,1,0,1,0,Low-skill Laborers,1,4
45,5046328,F,N,Y,157500.0,Pensioner,Secondary,not married,House / apartment,-15466.0,-2269,1,0,1,0,Low-skill Laborers,1,4
46,5047662,F,N,Y,67500.0,Commercial associate,Secondary,Married,House / apartment,-18880.0,-4114,1,0,0,0,Accountants,1,4
47,5048300,M,Y,N,180000.0,Commercial associate,Secondary,Married,House / apartment,-11091.0,-1161,1,0,0,0,Laborers,1,4
48,5048301,M,Y,N,180000.0,Commercial associate,Secondary,Married,House / apartment,-11091.0,-1161,1,0,0,0,Laborers,1,4
49,5050603,M,N,N,157500.0,Working,Secondary,Married,House / apartment,-18327.0,-7288,1,1,0,0,Laborers,1,2
50,5050606,M,N,N,157500.0,Working,Secondary,Married,House / apartment,-18327.0,-7288,1,1,0,0,Laborers,1,2
51,5050671,M,N,N,171000.0,Commercial associate,Incomplete higher,not married,House / apartment,-11610.0,-166,1,1,1,0,High skill tech staff,1,1
52,5051160,M,Y,N,135000.0,Working,Secondary,Married,House / apartment,-9594.0,-866,1,0,0,0,Laborers,1,4
53,5051161,M,Y,N,135000.0,Working,Secondary,Married,House / apartment,-9594.0,-866,1,0,0,0,Laborers,1,4
54,5052659,F,N,Y,103500.0,Working,Secondary,Married,House / apartment,-10396.0,-564,1,0,0,1,IT staff,1,2
55,5052661,F,N,Y,103500.0,Working,Secondary,Married,House / apartment,-10396.0,-564,1,0,0,1,IT staff,1,2
56,5052877,M,Y,Y,225000.0,Working,Secondary,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,1,2
57,5052879,M,Y,Y,225000.0,Working,Secondary,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,1,2
58,5052882,M,Y,Y,225000.0,Working,Secondary,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,1,2
59,5053254,F,Y,Y,180000.0,Commercial associate,Secondary,Married,House / apartment,-18667.0,-2150,1,1,0,0,Managers,1,2
60,5054063,M,N,N,157500.0,Working,Secondary,Married,House / apartment,-16424.0,-1458,1,0,0,0,Drivers,1,4
61,5054068,M,N,N,157500.0,Working,Secondary,Married,House / apartment,-16424.0,-1458,1,0,0,0,Drivers,1,2
62,5054524,F,N,N,180000.0,Working,Secondary,Married,House / apartment,-16611.0,-8369,1,0,0,0,Laborers,1,6
63,5054525,F,N,N,180000.0,Working,Secondary,not married,House / apartment,-16611.0,-8369,1,0,0,0,Laborers,1,6
64,5058345,F,N,Y,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,365243,1,0,0,0,Laborers,1,1
65,5058348,F,N,Y,166500.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,365243,1,0,0,0,Laborers,1,1
66,5058350,M,N,Y,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,365243,1,0,0,0,Laborers,1,1
67,5058352,F,N,Y,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,365243,1,0,0,0,Laborers,1,1
68,5058530,M,N,N,391500.0,Working,Secondary,not married,Municipal apartment,-9242.0,-508,1,0,0,0,Sales staff,1,1
69,5058531,M,N,N,391500.0,Working,Secondary,not married,Municipal apartment,-9242.0,-508,1,0,0,0,Sales staff,1,1
70,5058532,M,N,N,391500.0,Working,Secondary,not married,Municipal apartment,-15661.5,-508,1,0,0,0,Sales staff,1,1
71,5061360,M,N,Y,65250.0,Pensioner,Higher education,Married,House / apartment,-20872.0,365243,1,0,0,0,Laborers,1,2
72,5061396,M,N,Y,72900.0,Pensioner,Lower secondary,Married,House / apartment,-23423.0,365243,1,0,0,0,Laborers,1,2
73,5061636,F,N,Y,225000.0,Pensioner,Secondary,Married,Municipal apartment,-21664.0,365243,1,0,1,0,Laborers,1,2
74,5061691,F,N,Y,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122.0,-1567,1,0,0,1,Waiters/barmen staff,1,4
75,5062136,M,N,N,180000.0,Working,Secondary,not married,House / apartment,-12947.0,-137,1,0,0,0,Laborers,1,3
76,5062137,M,N,Y,166500.0,Working,Secondary,not married,House / apartment,-12947.0,-137,1,0,0,0,Laborers,1,3
